n_gram,freq
we want,5435
the federal,5435
is like,5433
to spend,5431
on monday,5429
not in,5421
but when,5421
come out,5421
be more,5420
and see,5415
on and,5410
to become,5404
with no,5398
likely to,5390
i remember,5385
was that,5382
version of,5378
many people,5376
is for,5374
day in,5372
the things,5363
it could,5359
i wanna,5357
the front,5350
he also,5350
there will,5348
friends and,5332
we would,5332
known as,5330
rt i,5326
plans to,5325
don't get,5321
think it's,5321
the board,5320
me on,5313
see how,5311
to ask,5309
place to,5303
these are,5298
that i'm,5297
department of,5295
work and,5289
set up,5282
one that,5280
be at,5278
can make,5277
that it's,5277
we get,5265
coming to,5258
the ground,5257
didn't have,5253
not even,5249
you go,5245
the process,5244
a place,5244
the original,5237
nice to,5226
right to,5224
the field,5219
go on,5217
a beautiful,5210
the street,5198
san diego,5187
at that,5186
too many,5176
to call,5172
there and,5171
the event,5169
i'm in,5167
don't like,5164
for following,5163
the water,5159
i decided,5155
that could,5154
you the,5153
and be,5152
and said,5151
i wonder,5141
didn't know,5138
thousands of,5126
a job,5124
a game,5123
two of,5120
for one,5115
on top,5102
pick up,5098
i go,5097
last month,5091
is good,5090
half of,5088
the white,5086
no idea,5086
the air,5085
the area,5077
i find,5076
on an,5075
to us,5072
the state's,5071
it does,5070
a free,5064
know it,5061
say the,5060
within the,5060
we know,5054
to build,5052
will get,5049
i dont,5043
he didn't,5041
not that,5040
out that,5036
i wasn't,5023
the internet,5022
in other,5016
i took,5016
have not,5014
something to,5014
get back,5010
welcome to,5009
at me,5008
of how,5007
the beginning,5005
on how,5005
one is,5003
any other,5001
what happened,4998
but also,4998
the group,4998
years and,4993
million in,4987
been in,4985
i told,4985
the work,4978
it had,4975
a special,4971
and of,4970
the lord,4966
proud of,4965
is being,4954
member of,4950
we just,4950
here are,4948
care of,4924
know you,4921
middle of,4920
over and,4914
these days,4914
you love,4912
few days,4912
it makes,4911
a person,4910
of which,4905
the latest,4904
idea of,4902
how are,4901
will never,4900
the current,4900
though i,4890
get my,4886
called the,4883
see if,4881
you got,4880
how it,4876
him in,4873
during a,4872
lol i,4871
much for,4869
so good,4868
over to,4866
and with,4865
keep the,4865
pay for,4859
is always,4859
love and,4857
a number,4856
in for,4856
love that,4855
to add,4854
this month,4854
were the,4853
me too,4848
the following,4845
but then,4844
be sure,4842
figure out,4832
a group,4831
end up,4830
me up,4825
thought it,4817
from to,4817
why do,4816
you had,4811
said we,4811
was no,4806
give me,4802
it so,4802
now the,4796
with our,4795
work in,4793
plan to,4782
you feel,4779
next time,4771
it takes,4768
also a,4765
to and,4761
than i,4747
find the,4741
is really,4741
are some,4739
but she,4737
you on,4720
were a,4720
the power,4718
great day,4709
hit the,4706
put the,4706
good for,4700
that's not,4700
the county,4696
and at,4691
my family,4690
read the,4687
an amazing,4681
get in,4679
me for,4678
health care,4676
in any,4672
pretty much,4671
the little,4666
my way,4658
you're not,4658
the music,4656
will take,4654
today and,4645
a major,4645
this summer,4644
i look,4638
the floor,4636
someone who,4630
even the,4626
was also,4615
near the,4615
the police,4614
who will,4609
will do,4606
they want,4604
to provide,4603
we love,4600
a child,4597
or so,4596
my husband,4594
as she,4591
the job,4587
family and,4586
thing i,4585
state of,4581
trip to,4580
it also,4580
the summer,4578
your favorite,4577
still have,4574
has not,4572
no more,4572
watch the,4572
three years,4571
get your,4571
people and,4569
it's all,4567
to pick,4563
the place,4561
that makes,4552
time with,4550
all this,4549
or two,4548
get some,4546
the room,4545
of god,4540
one in,4539
place in,4537
that way,4535
other than,4530
about you,4530
to bed,4530
give you,4526
the city's,4526
go out,4524
a part,4516
on sunday,4516
were in,4509
they could,4509
thought i,4505
put it,4504
the person,4498
let us,4493
a really,4493
the rt,4492
a former,4491
see that,4489
was very,4488
take it,4480
let the,4469
is at,4468
which has,4462
if u,4459
my phone,4459
wake up,4458
starting to,4454
to school,4450
where they,4449
a pretty,4448
had an,4446
few years,4444
were not,4444
i read,4439
the former,4433
about my,4432
i may,4431
want a,4428
access to,4427
its own,4427
the bill,4426
if your,4426
filled with,4423
a statement,4420
us and,4419
using the,4414
came out,4413
follow back,4413
i won't,4412
two weeks,4401
series of,4399
without a,4398
of any,4396
did it,4390
addition to,4389
that's why,4388
not so,4387
why is,4387
a million,4385
on tuesday,4383
bunch of,4381
a full,4379
a team,4376
hundreds of,4371
my dad,4371
to turn,4367
on me,4366
to one,4364
was at,4363
come in,4358
in life,4356
to avoid,4354
will make,4353
making a,4353
it may,4352
so they,4351
create a,4345
are just,4343
or even,4343
on thursday,4340
don't forget,4338
this point,4338
one more,4335
we did,4334
the court,4332
all you,4329
none of,4328
yeah i,4328
of things,4327
involved in,4321
the perfect,4316
but for,4312
and let,4304
the home,4302
when you're,4297
am so,4294
the market,4294
soon as,4292
to save,4292
the question,4291
the early,4290
for what,4287
new year,4286
be so,4282
quite a,4279
great to,4275
to support,4275
on facebook,4273
and two,4271
a guy,4270
if not,4268
getting a,4267
the office,4266
much to,4263
way i,4262
won the,4260
am a,4259
look forward,4258
the years,4258
work for,4256
to visit,4255
a girl,4255
do something,4253
and also,4248
the local,4241
the economy,4239
the center,4235
as part,4233
it's like,4233
the community,4232
are on,4231
the program,4228
including the,4226
that were,4223
look for,4216
took the,4214
it's time,4212
the news,4211
did the,4204
and do,4203
the president,4202
i'm still,4198
more about,4197
man who,4197
and our,4196
ended up,4194
i heard,4192
come up,4191
to those,4191
is only,4183
have it,4183
say i,4182
the three,4181
nothing to,4177
it looks,4174
very good,4174
think you,4172
it when,4171
must have,4169
for being,4169
it should,4165
it really,4162
in san,4158
to join,4157
the phone,4157
as many,4152
do we,4152
food and,4146
who were,4145
happened to,4143
saw the,4136
the district,4134
the food,4132
have fun,4132
a bunch,4131
living in,4130
ice cream,4129
the kind,4128
the project,4126
each of,4125
the line,4114
return to,4106
at his,4104
once again,4101
glad to,4100
as to,4097
working with,4092
in there,4092
all in,4090
shout out,4088
tonight at,4087
seemed to,4086
he's a,4083
on its,4082
for sure,4082
the hospital,4081
be back,4080
please follow,4079
talking to,4079
does it,4076
mother's day,4075
that means,4073
where we,4072
with one,4069
do so,4067
home to,4065
few weeks,4064
year old,4064
the red,4063
as soon,4060
things i,4058
keep it,4053
to some,4051
was my,4050
a series,4049
do is,4045
the list,4044
days of,4044
the greatest,4038
the church,4033
ways to,4033
tend to,4032
that his,4031
for another,4028
it might,4027
to what,4027
he doesn't,4026
but as,4025
just want,4024
so i'm,4023
on wednesday,4021
pair of,4020
you look,4017
it's going,4016
of one,4016
you at,4016
to hold,4014
up my,4014
at it,4013
my best,4011
because you,4011
on what,4007
make you,4002
her and,4002
that had,4001
in on,4000
enjoy the,3998
week and,3997
the ones,3996
glad you,3995
the west,3993
picked up,3990
him a,3990
you ever,3989
for its,3989
to its,3986
it took,3985
this book,3982
if there,3979
found a,3979
school and,3974
in with,3971
if a,3971
here i,3966
a young,3965
love with,3964
last time,3963
point of,3961
i wouldn't,3957
that all,3950
the reason,3948
the weather,3947
more to,3944
the us,3941
to for,3938
call me,3938
very much,3938
things are,3937
was still,3936
outside the,3936
how about,3935
at first,3935
was born,3932
was like,3928
best of,3925
year the,3921
before you,3920
is why,3917
which the,3915
the wrong,3908
the issue,3907
to feel,3907
how can,3906
just one,3905
the site,3905
much better,3902
i loved,3899
form of,3896
if she,3888
me but,3887
things to,3885
a family,3885
you that,3885
but what,3884
this will,3882
are now,3882
give up,3880
if it's,3874
my day,3874
really good,3871
the fourth,3870
been the,3869
you're a,3868
into my,3864
did a,3860
a half,3860
they did,3859
only to,3858
they say,3857
which he,3852
for about,3843
a car,3843
a strong,3843
will you,3842
years in,3842
our own,3842
are more,3841
or more,3839
a problem,3838
says the,3834
is coming,3831
because we,3831
more and,3828
all these,3828
important to,3825
say it,3824
not as,3824
got it,3820
believe in,3819
woke up,3819
then you,3817
i've never,3815
some time,3815
i hear,3814
as possible,3808
and others,3806
got my,3805
the heart,3804
and go,3804
good thing,3802
you make,3801
about his,3799
of work,3798
back from,3797
ahead of,3797
pretty good,3796
in time,3790
the kitchen,3790
be done,3789
the opportunity,3788
that and,3788
it be,3788
put on,3783
an old,3782
never been,3778
is something,3776
can we,3773
are also,3773
no i,3770
love this,3770
i've got,3767
join us,3764
so happy,3764
thing to,3763
just saw,3763
the building,3760
night and,3760
only the,3760
to believe,3759
a short,3758
to everyone,3749
all those,3748
to not,3748
of other,3748
on one,3747
or something,3743
to end,3742
said but,3739
for now,3735
don't even,3733
oh my,3731
to finish,3731
i tried,3730
has no,3729
didn't want,3728
five years,3726
to open,3726
that time,3721
no way,3720
she says,3720
both of,3718
terms of,3718
i'm gonna,3718
managed to,3717
to sell,3715
the guy,3714
in january,3714
house and,3712
to protect,3710
to catch,3709
seems like,3708
it at,3706
history of,3705
story of,3705
so he,3702
excited for,3699
to send,3698
it that,3694
her own,3694
in march,3693
of some,3690
for two,3690
the table,3690
have done,3690
taking a,3688
left the,3687
the hell,3683
at one,3682
day for,3678
when i'm,3678
variety of,3678
was really,3673
can only,3670
attempt to,3670
be used,3669
the head,3664
put a,3663
on in,3662
check it,3660
but that's,3660
parts of,3656
a story,3656
that when,3654
i must,3653
can't believe,3653
sure you,3652
win the,3649
thing that,3648
find it,3646
would make,3645
now i'm,3645
out my,3642
is too,3641
he and,3640
a picture,3634
years old,3633
help me,3633
allowed to,3624
have made,3623
getting ready,3622
give it,3621
to continue,3621
home in,3620
